Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
4764,D1,2017,2018-01-15,Leverkusen,Bayern Munich,-1,-1,H
4765,D1,2017,2018-02-05,Mainz,Bayern Munich,-1,-1,H
4766,D1,2017,2018-04-23,Hannover,Bayern Munich,-1,-1,H
4767,D1,2017,2017-10-22,Hamburg,Bayern Munich,-1,-1,H
4768,D1,2017,2018-02-19,Wolfsburg,Bayern Munich,-1,-1,H
4769,D1,2017,2017-09-10,Hoffenheim,Bayern Munich,-1,-1,H
4770,D1,2017,2018-05-05,FC Koln,Bayern Munich,-1,-1,H
4771,D1,2017,2018-03-05,Freiburg,Bayern Munich,-1,-1,H
4772,D1,2017,2017-09-20,Schalke 04,Bayern Munich,-1,-1,H
4773,D1,2017,2017-12-10,Ein Frankfurt,Bayern Munich,-1,-1,H
4774,D1,2017,2018-04-09,Augsburg,Bayern Munich,-1,-1,H
4775,D1,2017,2017-08-27,Werder Bremen,Bayern Munich,-1,-1,H
4776,D1,2017,2018-03-18,RB Leipzig,Bayern Munich,-1,-1,H
4777,D1,2017,2017-11-27,M'gladbach,Bayern Munich,-1,-1,H
4778,D1,2017,2017-12-17,Stuttgart,Bayern Munich,-1,-1,H
4779,D1,2017,2017-10-01,Hertha,Bayern Munich,-1,-1,H
4780,D1,2017,2017-11-05,Dortmund,Bayern Munich,-1,-1,H
4781,D1,2017,2017-10-29,Hannover,Dortmund,-1,-1,H
4782,D1,2017,2018-04-30,Werder Bremen,Dortmund,-1,-1,H
4783,D1,2017,2018-02-05,FC Koln,Dortmund,-1,-1,H
4784,D1,2017,2018-01-22,Hertha,Dortmund,-1,-1,H
4785,D1,2017,2018-03-05,RB Leipzig,Dortmund,-1,-1,H
4786,D1,2017,2018-04-02,Bayern Munich,Dortmund,-1,-1,H
4787,D1,2017,2018-04-16,Schalke 04,Dortmund,-1,-1,H
4788,D1,2017,2017-08-20,Wolfsburg,Dortmund,-1,-1,H
4789,D1,2017,2017-09-10,Freiburg,Dortmund,-1,-1,H
4790,D1,2017,2017-10-22,Ein Frankfurt,Dortmund,-1,-1,H
4791,D1,2017,2017-12-03,Leverkusen,Dortmund,-1,-1,H
4792,D1,2017,2017-11-19,Stuttgart,Dortmund,-1,-1,H
4793,D1,2017,2018-05-12,Hoffenheim,Dortmund,-1,-1,H
4794,D1,2017,2017-12-13,Mainz,Dortmund,-1,-1,H
4795,D1,2017,2017-09-20,Hamburg,Dortmund,-1,-1,H
4796,D1,2017,2017-10-01,Augsburg,Dortmund,-1,-1,H
4797,D1,2017,2018-02-19,M'gladbach,Dortmund,-1,-1,H
4798,D2,2017,2017-09-17,Regensburg,Dresden,-1,-1,H
4799,D2,2017,2018-04-23,Kaiserslautern,Dresden,-1,-1,H
4800,D2,2017,2017-10-23,Nurnberg,Dresden,-1,-1,H
4801,D2,2017,2017-09-25,Darmstadt,Dresden,-1,-1,H
4802,D2,2017,2017-11-06,Kiel,Dresden,-1,-1,H
4803,D2,2017,2018-02-26,Bielefeld,Dresden,-1,-1,H
4804,D2,2017,2017-08-28,Bochum,Dresden,-1,-1,H
4805,D2,2017,2018-02-12,Greuther Furth,Dresden,-1,-1,H
4806,D2,2017,2017-11-27,Fortuna Dusseldorf,Dresden,-1,-1,H
4807,D2,2017,2017-08-07,St Pauli,Dresden,-1,-1,H
4808,D2,2017,2018-04-09,Braunschweig,Dresden,-1,-1,H
4809,D2,2017,2017-12-11,Union Berlin,Dresden,-1,-1,H
4810,D2,2017,2018-05-06,Erzgebirge Aue,Dresden,-1,-1,H
4811,D2,2017,2017-10-02,Heidenheim,Dresden,-1,-1,H
4812,D2,2017,2017-12-18,Duisburg,Dresden,-1,-1,H
4813,D2,2017,2018-03-19,Ingolstadt,Dresden,-1,-1,H
4814,D2,2017,2018-01-29,Sandhausen,Dresden,-1,-1,H
4815,D2,2017,2017-07-31,Dresden,Duisburg,-1,-1,H
4816,D2,2017,2017-09-21,Ingolstadt,Duisburg,-1,-1,H
4817,D2,2017,2017-10-02,Fortuna Dusseldorf,Duisburg,-1,-1,H
4818,D2,2017,2018-04-09,Union Berlin,Duisburg,-1,-1,H
4819,D2,2017,2017-12-11,St Pauli,Duisburg,-1,-1,H
4820,D2,2017,2017-09-11,Bielefeld,Duisburg,-1,-1,H
4821,D2,2017,2018-04-23,Erzgebirge Aue,Duisburg,-1,-1,H
4822,D2,2017,2018-03-19,Braunschweig,Duisburg,-1,-1,H
4823,D2,2017,2018-02-05,Darmstadt,Duisburg,-1,-1,H
4824,D2,2017,2017-11-27,Regensburg,Duisburg,-1,-1,H
4825,D2,2017,2017-10-23,Kaiserslautern,Duisburg,-1,-1,H
4826,D2,2017,2017-11-06,Sandhausen,Duisburg,-1,-1,H
4827,D2,2017,2018-01-25,Bochum,Duisburg,-1,-1,H
4828,D2,2017,2018-03-05,Kiel,Duisburg,-1,-1,H
4829,D2,2017,2017-08-21,Heidenheim,Duisburg,-1,-1,H
4830,D2,2017,2018-02-19,Nurnberg,Duisburg,-1,-1,H
4831,D2,2017,2018-05-06,Greuther Furth,Duisburg,-1,-1,H
4832,D1,2017,2018-04-30,Bayern Munich,Ein Frankfurt,-1,-1,H
4833,D1,2017,2017-09-20,FC Koln,Ein Frankfurt,-1,-1,H
4834,D1,2017,2017-10-29,Mainz,Ein Frankfurt,-1,-1,H
4835,D1,2017,2017-09-10,M'gladbach,Ein Frankfurt,-1,-1,H
4836,D1,2017,2018-04-02,Werder Bremen,Ein Frankfurt,-1,-1,H
4837,D1,2017,2018-02-05,Augsburg,Ein Frankfurt,-1,-1,H
4838,D1,2017,2018-02-26,Stuttgart,Ein Frankfurt,-1,-1,H
4839,D1,2017,2017-08-20,Freiburg,Ein Frankfurt,-1,-1,H
4840,D1,2017,2017-11-19,Hoffenheim,Ein Frankfurt,-1,-1,H
4841,D1,2017,2018-03-12,Dortmund,Ein Frankfurt,-1,-1,H
4842,D1,2017,2017-12-13,Hamburg,Ein Frankfurt,-1,-1,H
4843,D1,2017,2017-09-24,RB Leipzig,Ein Frankfurt,-1,-1,H
4844,D1,2017,2018-05-12,Schalke 04,Ein Frankfurt,-1,-1,H
4845,D1,2017,2018-04-16,Leverkusen,Ein Frankfurt,-1,-1,H
4846,D1,2017,2017-12-03,Hertha,Ein Frankfurt,-1,-1,H
4847,D1,2017,2017-10-15,Hannover,Ein Frankfurt,-1,-1,H
4848,D1,2017,2018-01-22,Wolfsburg,Ein Frankfurt,-1,-1,H
4849,D1,2017,2017-09-24,Hannover,FC Koln,-1,-1,H
4850,D1,2017,2018-01-22,Hamburg,FC Koln,-1,-1,H
4851,D1,2017,2018-02-26,RB Leipzig,FC Koln,-1,-1,H
4852,D1,2017,2018-04-30,Freiburg,FC Koln,-1,-1,H
4853,D1,2017,2017-12-13,Bayern Munich,FC Koln,-1,-1,H
4854,D1,2017,2018-04-16,Hertha,FC Koln,-1,-1,H
4855,D1,2017,2017-09-10,Augsburg,FC Koln,-1,-1,H
4856,D1,2017,2018-03-12,Werder Bremen,FC Koln,-1,-1,H
4857,D1,2017,2017-10-15,Stuttgart,FC Koln,-1,-1,H
4858,D1,2017,2017-12-03,Schalke 04,FC Koln,-1,-1,H
4859,D1,2017,2018-04-02,Hoffenheim,FC Koln,-1,-1,H
4860,D1,2017,2017-08-20,M'gladbach,FC Koln,-1,-1,H
4861,D1,2017,2018-02-12,Ein Frankfurt,FC Koln,-1,-1,H
4862,D1,2017,2017-11-19,Mainz,FC Koln,-1,-1,H
4863,D1,2017,2017-09-17,Dortmund,FC Koln,-1,-1,H
4864,D1,2017,2018-05-12,Wolfsburg,FC Koln,-1,-1,H
4865,D1,2017,2017-10-29,Leverkusen,FC Koln,-1,-1,H
4866,D1,2017,2017-09-17,Leverkusen,Freiburg,-1,-1,H
4867,D1,2017,2018-04-23,Hamburg,Freiburg,-1,-1,H
4868,D1,2017,2018-04-16,Mainz,Freiburg,-1,-1,H
4869,D1,2017,2018-01-15,Ein Frankfurt,Freiburg,-1,-1,H
