Date,Category,Product,Quantity,Total
2024-01-01 00:00:00,Networking,Wireless Mesh Router System,1,383.7
2024-01-01 00:00:00,Mice,Wireless Bluetooth Mouse,2,305.12
2024-01-01 00:00:00,Networking,Powerline Ethernet Adapter,1,315.72
2024-01-01 00:00:00,Keyboards,Mechanical Gaming Keyboard,1,59.35
2024-01-01 00:00:00,Storage,4TB Desktop HDD,1,181.54
2024-01-01 00:00:00,Networking,Powerline Ethernet Adapter,4,596.8
2024-01-01 00:00:00,Storage,512GB Portable SSD,1,234.88
2024-01-02 00:00:00,Mice,Precision Laser Mouse,3,210.06
2024-01-02 00:00:00,Mice,Vertical Ergonomic Mouse,1,36.69
2024-01-02 00:00:00,Keyboards,RGB Backlit Keyboard,3,386.01
2024-01-02 00:00:00,Keyboards,Compact 60% Keyboard,5,212.35
2024-01-02 00:00:00,Monitors,"27"" 4K IPS Monitor",5,1819.3
2024-01-03 00:00:00,Networking,Powerline Ethernet Adapter,3,929.43
2024-01-03 00:00:00,Networking,Wireless Mesh Router System,1,347.57
2024-01-03 00:00:00,Headsets,Noise-Cancelling Gaming Headset,2,351.94
2024-01-03 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",4.0,1871.06
2024-01-04 00:00:00,Headsets,Wireless Bluetooth Headphones,3,251.85
2024-01-04 00:00:00,Networking,USB Wi-Fi Adapter,1,324.11
2024-01-04 00:00:00,Mice,Trackball Mouse,2,98.82
2024-01-04 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",5,1488.25
2024-01-05 00:00:00,Headsets,Noise-Cancelling Gaming Headset,2,335.84
2024-01-05 00:00:00,Headsets,Surround Sound Headphones,3,95.73
2024-01-05 00:00:00,Storage,512GB Portable SSD,2,413.94
2024-01-05 00:00:00,Monitors,"32"" 8K Professional Monitor",2,676.78
2024-01-05 00:00:00,Mice,Trackball Mouse,5,336.45
2024-01-05 00:00:00,Storage,128GB USB Flash Drive,5,689.2
2024-01-06 00:00:00,Mice,Wireless Bluetooth Mouse,5,544.15
2024-01-06 00:00:00,Keyboards,Mechanical Gaming Keyboard,2,265.88
2024-01-06 00:00:00,Networking,Network Attached Storage (NAS),5,392.95
2024-01-06 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",4.0,2297.02
2024-01-07 00:00:00,Storage,1TB NVMe SSD,1,214.06
2024-01-07 00:00:00,Storage,512GB Portable SSD,3,180.36
2024-01-07 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",4,411.68
2024-01-07 00:00:00,Networking,USB Wi-Fi Adapter,5,1964.4
2024-01-08 00:00:00,Storage,1TB NVMe SSD,3,771.75
2024-01-08 00:00:00,Storage,4TB Desktop HDD,2,142.54
2024-01-08 00:00:00,Mice,Trackball Mouse,5,926.65
2024-01-08 00:00:00,Storage,512GB Portable SSD,4,141.04
2024-01-08 00:00:00,Headsets,USB Conference Headset,2,60.86
2024-01-09 00:00:00,Storage,1TB NVMe SSD,1,227.62
2024-01-09 00:00:00,Keyboards,Membrane Office Keyboard,2,86.22
2024-01-09 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",2,677.1
2024-01-09 00:00:00,Storage,128GB USB Flash Drive,2,561.62
2024-01-09 00:00:00,Networking,Gigabit Ethernet Switch,3,688.65
2024-01-10 00:00:00,Networking,USB Wi-Fi Adapter,4,1819.32
2024-01-10 00:00:00,Monitors,"27"" 4K IPS Monitor",2,604.46
2024-01-11 00:00:00,Headsets,Noise-Cancelling Gaming Headset,5,598.55
2024-01-11 00:00:00,Storage,2TB External HDD,1,49.17
2024-01-11 00:00:00,Networking,Wireless Mesh Router System,2,160.66
2024-01-11 00:00:00,Keyboards,RGB Backlit Keyboard,1,112.55
2024-01-11 00:00:00,Headsets,Surround Sound Headphones,2,234.12
2024-01-11 00:00:00,Networking,Powerline Ethernet Adapter,5,1313.5
2024-01-12 00:00:00,Monitors,"32"" 8K Professional Monitor",2,369.78
2024-01-12 00:00:00,Networking,Network Attached Storage (NAS),3,721.83
2024-01-12 00:00:00,Monitors,"27"" 4K IPS Monitor",1,154.55
2024-01-12 00:00:00,Networking,USB Wi-Fi Adapter,1,161.9
2024-01-12 00:00:00,Mice,Trackball Mouse,4,180.92
2024-01-12 00:00:00,Mice,Vertical Ergonomic Mouse,4,259.88
2024-01-12 00:00:00,Keyboards,Compact 60% Keyboard,5,188.1
2024-01-13 00:00:00,Networking,Powerline Ethernet Adapter,1,486.05
2024-01-13 00:00:00,Mice,Wireless Bluetooth Mouse,4,429.68
2024-01-13 00:00:00,Mice,Precision Laser Mouse,1,49.63
2024-01-13 00:00:00,Keyboards,Compact 60% Keyboard,3,560.31
2024-01-13 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",4.0,1974.3300000000004
2024-01-14 00:00:00,Networking,Powerline Ethernet Adapter,4,478.64
2024-01-14 00:00:00,Headsets,Wireless Bluetooth Headphones,1,124.25
2024-01-14 00:00:00,Storage,1TB NVMe SSD,3,136.29
2024-01-14 00:00:00,Storage,128GB USB Flash Drive,5,1391.15
2024-01-15 00:00:00,Storage,2TB External HDD,1,289.41
2024-01-15 00:00:00,Keyboards,Wireless Ergonomic Keyboard,1,127.11
2024-01-15 00:00:00,Networking,Gigabit Ethernet Switch,4,415.8
2024-01-15 00:00:00,Storage,2TB External HDD,5,952.6
2024-01-15 00:00:00,Storage,1TB NVMe SSD,4,829.96
2024-01-16 00:00:00,Storage,4TB Desktop HDD,3,847.11
2024-01-16 00:00:00,Mice,Vertical Ergonomic Mouse,2,135.62
2024-01-16 00:00:00,Mice,Vertical Ergonomic Mouse,4,307.64
2024-01-16 00:00:00,Keyboards,Mechanical Gaming Keyboard,4,527.24
2024-01-16 00:00:00,Storage,1TB NVMe SSD,1,175.16
2024-01-16 00:00:00,Storage,512GB Portable SSD,2,563.96
2024-01-17 00:00:00,Keyboards,Wireless Ergonomic Keyboard,3,213.9
2024-01-17 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",3,1951.53
2024-01-18 00:00:00,Networking,Powerline Ethernet Adapter,1,350.54
2024-01-18 00:00:00,Storage,512GB Portable SSD,1,283.51
2024-01-18 00:00:00,Mice,Vertical Ergonomic Mouse,1,180.15
2024-01-18 00:00:00,Networking,Powerline Ethernet Adapter,2,345.12
2024-01-18 00:00:00,Storage,2TB External HDD,3,254.91
2024-01-18 00:00:00,Networking,USB Wi-Fi Adapter,5,1349.2
2024-01-19 00:00:00,Keyboards,Mechanical Gaming Keyboard,4,677.12
2024-01-19 00:00:00,Keyboards,Mechanical Gaming Keyboard,3,476.4
2024-01-19 00:00:00,Networking,USB Wi-Fi Adapter,2,767.1
2024-01-19 00:00:00,Storage,128GB USB Flash Drive,5,163.05
2024-01-20 00:00:00,Keyboards,Wireless Ergonomic Keyboard,5,132.45
2024-01-20 00:00:00,Headsets,In-Ear Gaming Earbuds,5,233.3
2024-01-20 00:00:00,Mice,Optical Gaming Mouse,3,256.92
2024-01-20 00:00:00,Keyboards,RGB Backlit Keyboard,2,285.54
2024-01-20 00:00:00,Networking,Wireless Mesh Router System,3,1203.15
2024-01-21 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",2,1866.38
2024-01-21 00:00:00,Mice,Wireless Bluetooth Mouse,2,357.3
2024-01-22 00:00:00,Keyboards,Wireless Ergonomic Keyboard,3,482.49
2024-01-22 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",3,729.84
2024-01-22 00:00:00,Networking,Wireless Mesh Router System,4,1769.92
2024-01-23 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",2,1669.86
2024-01-23 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",3.0,1830.1399999999999
2024-01-24 00:00:00,Mice,Wireless Bluetooth Mouse,1,138.81
2024-01-24 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",3,2633.76
2024-01-25 00:00:00,Headsets,USB Conference Headset,5,459.7
2024-01-25 00:00:00,Storage,512GB Portable SSD,1,61.14
2024-01-25 00:00:00,Headsets,Wireless Bluetooth Headphones,5,966.3
2024-01-25 00:00:00,Headsets,Noise-Cancelling Gaming Headset,1,127.38
2024-01-25 00:00:00,Headsets,USB Conference Headset,4,516.48
2024-01-26 00:00:00,Storage,1TB NVMe SSD,4,1091.48
2024-01-26 00:00:00,Mice,Vertical Ergonomic Mouse,1,147.58
2024-01-26 00:00:00,Keyboards,Membrane Office Keyboard,5,718.15
2024-01-26 00:00:00,Networking,Gigabit Ethernet Switch,3,732.24
2024-01-27 00:00:00,Networking,USB Wi-Fi Adapter,5,956.3
2024-01-27 00:00:00,Keyboards,RGB Backlit Keyboard,5,378.35
2024-01-27 00:00:00,Monitors,"24"" 144Hz Gaming Monitor",4.0,2165.3499999999995
2024-01-28 00:00:00,Storage,2TB External HDD,2,287.04
2024-01-28 00:00:00,Monitors,"34"" Ultrawide Curved Monitor",5,3060.95
2024-01-29 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,373.49
2024-01-29 00:00:00,Mice,Precision Laser Mouse,5,646.0
2024-01-29 00:00:00,Headsets,Surround Sound Headphones,4,398.36
2024-01-29 00:00:00,Mice,Trackball Mouse,4,651.48
2024-01-30 00:00:00,Networking,Gigabit Ethernet Switch,1,177.7
2024-01-30 00:00:00,Networking,Powerline Ethernet Adapter,3,276.06
2024-01-30 00:00:00,Mice,Vertical Ergonomic Mouse,2,330.36
2024-01-30 00:00:00,Mice,Optical Gaming Mouse,1,64.07
2024-01-30 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",1,509.87
2024-01-30 00:00:00,Networking,Powerline Ethernet Adapter,2,746.52
2024-01-31 00:00:00,Monitors,"32"" 8K Professional Monitor",4,1278.36
2024-01-31 00:00:00,Networking,Wireless Mesh Router System,1,400.29
2024-01-31 00:00:00,Mice,Wireless Bluetooth Mouse,5,518.1
2024-02-01 00:00:00,Storage,2TB External HDD,1,153.24
2024-02-01 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",5,3179.55
2024-02-02 00:00:00,Monitors,"15.6"" Portable USB-C Monitor",5,2420.35
