production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
1,2024-06-01,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.44936,SE,1786.91843
2,2024-06-01,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,16.34197,E,1156.38082
3,2024-06-01,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.16424,E,1216.49768
4,2024-06-01,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.03947,NE,1888.39496
5,2024-06-01,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.00397,SE,1052.36231
6,2024-06-01,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,5.22807,N,0.0
7,2024-06-01,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,20.38065,SE,0.0
8,2024-06-01,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.61423,NW,1459.88153
9,2024-06-01,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.72739,NW,658.86141
10,2024-06-01,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.28564,E,1184.2255
11,2024-06-01,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.43217,SW,724.5123
12,2024-06-01,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,10.88925,S,1522.73045
13,2024-06-01,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.05173,NE,648.92053
14,2024-06-01,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,17.02222,SE,0.0
15,2024-06-01,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.9653,W,1411.746
16,2024-06-01,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.88378,SE,1982.56076
17,2024-06-01,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.80417,SE,1992.94935
18,2024-06-01,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.53048,S,866.63839
19,2024-06-01,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.53863,SW,975.80261
20,2024-06-01,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,23.84013,NW,1731.48984
21,2024-06-01,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.27273,E,1957.9175
22,2024-06-01,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.72136,N,1407.26828
23,2024-06-01,01-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.90132,E,1969.38009
24,2024-06-01,01-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.06055,NE,976.97477
25,2024-06-01,01-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.47539,E,1347.7833
26,2024-06-01,01-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.70629,W,640.91077
27,2024-06-01,01-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.37381,SE,514.03506
28,2024-06-01,01-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.88501,W,934.10914
29,2024-06-01,01-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.4898,N,747.41069
30,2024-06-01,01-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.36816,E,905.01196
31,2024-06-01,01-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.13034,N,1634.16004
32,2024-06-01,01-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.60888,N,834.62245
33,2024-06-01,01-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,12.28388,S,0.0
34,2024-06-01,01-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,4.67264,W,0.0
35,2024-06-01,01-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.11963,N,874.69441
36,2024-06-01,01-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.20457,N,1587.88142
37,2024-06-01,02-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,23.98992,NE,1092.30394
38,2024-06-01,02-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.92195,W,952.36223
39,2024-06-01,02-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.67178,NW,1623.75476
40,2024-06-01,02-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.36586,W,1354.94737
41,2024-06-01,02-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.20948,S,1953.44265
42,2024-06-01,02-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,7.08904,SE,1051.34281
43,2024-06-01,02-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.51424,SW,1305.53378
44,2024-06-01,02-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.29009,S,1571.36195
45,2024-06-01,02-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Inspection,Maintenance,5.43731,NW,0.0
46,2024-06-01,02-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.69126,NE,685.72997
47,2024-06-01,02-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.56834,SW,709.95888
48,2024-06-01,02-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.59922,NW,1180.31402
49,2024-06-01,02-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.92679,NW,524.94196
50,2024-06-01,02-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.59297,SW,1594.98584
51,2024-06-01,02-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.98384,NE,1008.47768
52,2024-06-01,02-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,5.93269,E,835.88703
53,2024-06-01,02-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,23.34587,N,1394.98311
54,2024-06-01,02-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.5006,SE,1365.84288
