production_id,date,time,am_pm,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
6481,20240616,000000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.49365,W,1878.96144
6482,20240616,000000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.09261,S,1016.30424
6483,20240616,000000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.26528,NW,1235.22884
6484,20240616,001000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,15.63679,NW,1799.24813
6485,20240616,001000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,16.93046,N,1729.92798
6486,20240616,001000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.55559,S,1936.3804
6487,20240616,002000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,8.99705,S,898.22885
6488,20240616,002000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,2.4153,SW,1283.86451
6489,20240616,002000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,16.90636,NW,1399.87829
6490,20240616,003000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.30023,NE,1644.88424
6491,20240616,003000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,10.45896,SW,1727.54208
6492,20240616,003000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.09685,E,1076.92043
6493,20240616,004000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.05135,NE,1597.16857
6494,20240616,004000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,10.42302,NE,1021.60487
6495,20240616,004000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.42248,E,508.86457
6496,20240616,005000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,18.82041,SE,1126.62158
6497,20240616,005000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.26684,S,1964.54702
6498,20240616,005000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,20.47035,SW,1351.29934
6499,20240616,010000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,21.40441,SW,1919.95548
6500,20240616,010000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.80666,E,807.87339
6501,20240616,010000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.58335,S,1475.7217
6502,20240616,011000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.2517,E,927.97243
6503,20240616,011000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.13912,S,1700.89011
6504,20240616,011000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Offline,Operations,15.02849,S,0.0
6505,20240616,012000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,8.93665,SE,1243.30248
6506,20240616,012000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,4.15048,E,1158.8268
6507,20240616,012000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,14.52592,E,1784.34233
6508,20240616,013000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.68859,NW,753.89216
6509,20240616,013000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.50345,S,718.42259
6510,20240616,013000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.97759,NE,1773.04159
6511,20240616,014000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.78403,SW,670.77531
6512,20240616,014000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.15489,NW,1666.19904
6513,20240616,014000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,23.74083,SW,1150.12677
6514,20240616,015000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,23.07553,SE,1594.66571
6515,20240616,015000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.16624,N,604.58654
6516,20240616,015000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.26828,SE,1863.10872
6517,20240616,020000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.89766,E,1965.89052
6518,20240616,020000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Preventive Maintenance,Maintenance,6.56378,SE,0.0
6519,20240616,020000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.28292,SW,770.06614
6520,20240616,021000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Preventive Maintenance,Maintenance,14.77931,W,0.0
6521,20240616,021000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,5.0445,S,659.76558
6522,20240616,021000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,22.66488,SE,1196.67608
6523,20240616,022000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.02319,NE,1111.23086
6524,20240616,022000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.78197,W,640.01312
6525,20240616,022000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,19.34593,W,1377.00376
6526,20240616,023000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.91875,NE,1195.29169
6527,20240616,023000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.42891,E,1276.34008
6528,20240616,023000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,21.93333,E,0.0
6529,20240616,024000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.63061,SW,780.96396
6530,20240616,024000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.45539,NE,576.31846
6531,20240616,024000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.7536,W,984.15536
6532,20240616,025000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.81813,S,1978.78587
6533,20240616,025000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.94817,NE,818.46286
6534,20240616,025000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,20.15709,N,1204.34566
6535,20240616,030000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.17778,SW,1896.50947
6536,20240616,030000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,18.42515,SE,1396.19145
6537,20240616,030000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Reactive Maintenance,Maintenance,19.27783,NW,0.0
6538,20240616,031000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.4934,SW,1648.24048
6539,20240616,031000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.86785,N,1668.04189
6540,20240616,031000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.72696,N,1593.83182
6541,20240616,032000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,8.94304,N,962.81035
6542,20240616,032000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.2208,SE,813.79923
6543,20240616,032000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.82509,N,1886.56361
6544,20240616,033000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.60334,S,1454.12742
