production_id,date,time,am_pm,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
8209,2024-06-20,000000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,18.12972,N,0.0
8210,2024-06-20,000000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.12424,NE,527.19077
8211,2024-06-20,000000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.32545,NE,994.24007
8212,2024-06-20,001000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.64904,N,576.0174
8213,2024-06-20,001000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.50158,SW,1408.04307
8214,2024-06-20,001000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,19.93808,SE,1743.17578
8215,2024-06-20,002000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.23471,SW,964.26638
8216,2024-06-20,002000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.39247,NE,1618.04134
8217,2024-06-20,002000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.4641,SW,1903.17248
8218,2024-06-20,003000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.23309,E,1961.39421
8219,2024-06-20,003000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,20.15706,SW,1572.09906
8220,2024-06-20,003000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.46629,SE,1557.33018
8221,2024-06-20,004000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.61945,N,886.55227
8222,2024-06-20,004000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.00002,NW,1014.44915
8223,2024-06-20,004000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.7465,NE,1448.19404
8224,2024-06-20,005000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,12.13103,E,659.4911
8225,2024-06-20,005000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,24.84845,SW,655.59077
8226,2024-06-20,005000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,18.23313,NW,1130.95153
8227,2024-06-20,010000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,13.09797,E,1852.00703
8228,2024-06-20,010000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,13.36599,E,1128.04332
8229,2024-06-20,010000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Offline,Operations,12.12794,NW,0.0
8230,2024-06-20,011000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.27009,SW,532.32117
8231,2024-06-20,011000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.65861,E,1050.48385
8232,2024-06-20,011000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,12.42932,N,1289.30553
8233,2024-06-20,012000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.53594,E,1741.58017
8234,2024-06-20,012000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,16.5968,S,724.36945
8235,2024-06-20,012000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.02481,SW,1913.64115
8236,2024-06-20,013000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,14.89615,SW,0.0
8237,2024-06-20,013000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,23.33212,SE,540.87428
8238,2024-06-20,013000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,13.65457,S,522.90373
8239,2024-06-20,014000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.34504,W,1045.65868
8240,2024-06-20,014000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Fault,Engineering,14.90979,S,0.0
8241,2024-06-20,014000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,19.88786,SW,933.88993
8242,2024-06-20,015000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Preventive Maintenance,Maintenance,9.64703,N,0.0
8243,2024-06-20,015000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Inspection,Maintenance,11.74332,NW,0.0
8244,2024-06-20,015000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.65327,S,1414.83715
8245,2024-06-20,020000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.64784,E,1028.73274
8246,2024-06-20,020000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Preventive Maintenance,Maintenance,22.84446,S,0.0
8247,2024-06-20,020000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.57554,SE,815.82134
8248,2024-06-20,021000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,6.66545,N,1263.43929
8249,2024-06-20,021000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.99405,NW,1299.02743
8250,2024-06-20,021000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.05607,S,622.57663
8251,2024-06-20,022000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.82902,NW,1799.06993
8252,2024-06-20,022000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.56688,N,1442.28657
8253,2024-06-20,022000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,5.04353,NE,1800.4125
8254,2024-06-20,023000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,14.77065,SW,1673.68209
8255,2024-06-20,023000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,19.49285,SE,537.94545
8256,2024-06-20,023000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.48964,SE,763.76876
8257,2024-06-20,024000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,19.56323,W,1527.13563
8258,2024-06-20,024000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Fault,Engineering,6.50601,SE,0.0
8259,2024-06-20,024000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.87356,W,1456.91207
8260,2024-06-20,025000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,4.30449,NE,1011.53724
8261,2024-06-20,025000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,24.80791,E,626.8183
8262,2024-06-20,025000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,21.47302,S,1674.9
8263,2024-06-20,030000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.71767,NE,1630.47491
8264,2024-06-20,030000,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,3.02175,S,1670.43608
8265,2024-06-20,030000,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,9.12119,E,843.80966
8266,2024-06-20,031000,AM,Turbine A,1500,Location 1,34.0522,-118.2437,Region A,Online,Operations,10.27959,E,1494.95639
