production_id,date,time,am_pm,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
8641,20240621,T000000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,15.77113,S,1463.83667
8642,20240621,T000000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,23.46748,W,1520.86303
8643,20240621,T000000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,8.22039,NW,1750.88524
8644,20240621,T001000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,12.67363,N,1079.31464
8645,20240621,T001000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,24.27593,W,565.08232
8646,20240621,T001000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,6.71332,N,690.63529
8647,20240621,T002000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,14.33748,SW,1547.57894
8648,20240621,T002000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,2.32649,NE,1135.23757
8649,20240621,T002000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,23.78419,NW,1174.37263
8650,20240621,T003000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,24.34261,S,605.21701
8651,20240621,T003000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,20.88939,SE,513.48639
8652,20240621,T003000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,16.41912,SW,1331.22173
8653,20240621,T004000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,24.27547,NW,925.2213
8654,20240621,T004000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,18.2052,W,1819.09495
8655,20240621,T004000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,22.33366,NW,1550.38739
8656,20240621,T005000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,7.27646,N,1903.90426
8657,20240621,T005000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,14.14951,S,867.02239
8658,20240621,T005000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,10.24942,SW,1119.00814
8659,20240621,T010000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,5.18849,NE,1324.3865
8660,20240621,T010000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,7.5777,NW,647.3585
8661,20240621,T010000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,24.27473,SW,636.79156
8662,20240621,T011000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,10.12539,S,1916.27838
8663,20240621,T011000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,7.22123,SE,1882.87195
8664,20240621,T011000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,17.3475,SE,1209.57739
8665,20240621,T012000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,3.17358,NE,1323.05399
8666,20240621,T012000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,21.3171,SE,1747.86037
8667,20240621,T012000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,2.68754,SW,1380.28828
8668,20240621,T013000,AM,Turbine A,1500,Location 1,"""34.0522""","""-118.2437""",Region A,Online,Operations,3.31136,S,531.13984
8669,20240621,T013000,AM,Turbine B,2000,Location 2,"""36.7783""","""-119.4179""",Region B,Online,Operations,2.04625,N,817.16452
8670,20240621,T013000,AM,Turbine C,2500,Location 3,"""40.7128""","""-74.0060""",Region C,Online,Operations,2.34128,SE,903.48496
